,id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Email_Interaction,Socioeconomic_Status_Score,Engagement_Score,AB_Bucket,Price_Sine,Day,day_sin,day_cos,time_sin,time_cos,campaign_effect,seasonality_score,Time_of_Day_afternoon,Time_of_Day_evening,Time_of_Day_morning,Device_Type_desktop,Device_Type_mobile,Device_Type_tablet,Payment_Method_bank,Payment_Method_cash,Payment_Method_credit,Payment_Method_paypal,Referral_Source_ads,Referral_Source_direct,Referral_Source_email,Referral_Source_search_engine,Referral_Source_social_media,PM_RS_Combo_bank:ads,PM_RS_Combo_bank:direct,PM_RS_Combo_bank:email,PM_RS_Combo_bank:search_engine,PM_RS_Combo_bank:social_media,PM_RS_Combo_cash:ads,PM_RS_Combo_cash:direct,PM_RS_Combo_cash:email,PM_RS_Combo_cash:search_engine,PM_RS_Combo_cash:social_media,PM_RS_Combo_credit:ads,PM_RS_Combo_credit:direct,PM_RS_Combo_credit:email,PM_RS_Combo_credit:search_engine,PM_RS_Combo_credit:social_media,PM_RS_Combo_paypal:ads,PM_RS_Combo_paypal:direct,PM_RS_Combo_paypal:email,PM_RS_Combo_paypal:search_engine,PM_RS_Combo_paypal:social_media,Campaign_Period_false,Campaign_Period_true,Session_ID
0,1,0.04255319148936171,1.0,0.3333333333333333,0.0004978173495811583,0.35555555555555557,1.0,0.3181818181818182,0.0,0.13202247191011235,0.11242602308779616,0.16666666666666666,0.8257693916345077,0.3793103448275863,7.771561172376096e-16,0.3568958678922105,0.5,1.0,1.0,0.34997653784335875,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,s0000001
1,2,0.1914893617021276,1.0,0.25,0.004867433090698709,0.13333333333333333,0.0,0.13636363636363635,1.0,0.12279293739967898,0.6089466262588151,0.3333333333333333,0.012933474296722425,1.0,0.9999999999999991,0.3568958678922137,0.0,0.0,0.0,0.4875987856832188,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000002
2,3,0.5548827432366358,0.0,0.25,0.0058353505339936345,0.12222222222222223,0.75,0.2272727272727273,1.0,0.10112359550561797,0.06559401286754112,0.6666666666666666,0.08966734476357335,0.034482758620689946,0.9999999999999991,0.3568958678922133,1.0,4.440892098500626e-16,0.0,0.8124481386300634,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000004
3,4,0.4089995779492438,0.0,0.41666666666666663,0.03623230555391051,0.2777777777777778,0.75,0.0,0.0,0.28706839517400046,0.3399507709473972,1.0,0.5816691302053045,0.7241379310344831,0.900968867902417,0.8019377358048403,1.0,4.440892098500626e-16,0.0,0.7641606788744479,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000006
4,5,0.7659574468085105,0.0,0.16666666666666666,0.0050689780556370054,0.41111111111111115,0.0,0.13636363636363635,0.0,0.38443017656500805,0.38913045196902346,0.8333333333333333,0.0007242767659789151,0.9655172413793105,0.9009688679024193,0.8019377358048376,0.0,0.0,0.0,0.43931132592760425,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000012
5,6,0.3829787234042553,0.0,0.16666666666666666,0.009443416985130555,0.4666666666666667,0.75,0.09090909090909091,0.0,0.028892455858747994,0.5758936366031365,0.16666666666666666,0.9172493540493396,0.41379310344827624,0.09903113209758246,0.8019377358048407,0.0,0.0,1.0,0.2358393211255518,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000015
6,7,0.14893617021276595,1.0,0.41666666666666663,0.018040525183219632,0.17777777777777778,0.25,0.045454545454545456,1.0,0.19221508828250403,0.5027315109546506,0.5,0.4220782922431876,0.8620689655172415,8.326672684688674e-16,0.35689586789221023,0.5,1.0,0.0,0.16242467647342224,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000017
7,8,0.4489332772881923,0.0,0.3333333333333333,0.012846787321590192,0.45555555555555555,1.0,0.0,1.0,0.1404494382022472,0.2082950070418723,0.6666666666666666,0.03605669583891036,0.5517241379310347,0.7225209339563183,6.217248937900877e-15,0.0,0.0,1.0,0.5398521913977427,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000018
8,9,0.10638297872340424,1.0,0.2009846253590915,0.034160135209225825,0.4444444444444445,0.5,0.0,0.0,0.2174959871589085,0.46971739017132985,1.0,0.4634255084556577,0.7241379310344831,0.900968867902417,0.8019377358048403,0.0,0.0,0.0,0.4393113259276032,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000020
9,10,0.9999999999999999,1.0,0.0,0.0016102375166209305,0.2777777777777778,0.0,0.045454545454545456,0.0,0.0914927768860353,0.16428187213011894,0.0,0.9975113194118969,0.8620689655172415,8.326672684688674e-16,0.35689586789221023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,s0000021
